song_name,song_duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,audio_mode,speechiness,tempo,time_signature,audio_valence,song_popularity
11835,194520,0,0,0,0,2,0,-3,1,0,139,4,0,57
7302,206586,0,0,0,0,1,0,-4,1,0,143,4,0,71
5068,173680,0,0,0,0,6,0,-4,0,0,103,4,0,63
10313,215266,0,0,0,0,9,0,-4,1,0,123,4,0,64
3644,270920,0,0,0,0,4,0,-7,1,0,104,4,0,71
2409,175026,0,0,0,0,6,0,-4,0,0,93,4,0,61
5255,246040,0,0,0,0,0,0,-4,1,0,169,4,0,67
12503,176306,0,0,0,0,2,0,-3,1,0,112,1,0,63
9805,277840,0,0,0,0,9,0,-3,1,0,89,4,0,72
11116,238400,0,0,0,0,1,0,-3,0,0,140,3,0,71
9063,207213,0,0,0,0,8,0,-4,1,0,127,4,0,70
8629,218000,0,0,0,0,2,0,-4,1,0,136,4,0,65
2026,299533,0,0,0,0,7,0,-4,0,0,141,4,0,69
5802,247266,0,0,0,0,11,0,-4,0,0,82,3,0,66
6855,210367,0,0,0,0,6,0,-6,0,0,97,4,0,94
10718,212500,0,0,0,0,1,0,-4,0,0,95,4,0,98
12327,185282,0,0,0,0,1,0,-6,1,0,127,4,0,59
5880,199230,0,0,0,0,11,0,-6,1,0,94,4,0,73
1134,180000,0,0,0,0,2,0,-4,1,0,100,4,0,94
1998,179693,0,0,0,0,4,0,-4,0,0,166,4,0,87
4367,235720,0,0,0,0,7,0,-3,1,0,100,4,0,73
8982,223583,0,0,0,0,0,0,-6,0,0,91,4,0,85
8368,243487,0,0,0,0,0,0,-6,1,0,74,4,0,61
8370,210865,0,0,0,0,11,0,-8,0,0,169,4,0,58
11965,204664,0,0,0,0,4,0,-5,0,0,143,4,0,92
3481,215151,0,0,0,0,11,0,-4,0,0,130,4,0,83
1039,202373,0,0,0,0,1,0,-5,0,0,83,4,0,57
12600,162733,0,0,0,0,5,0,-5,0,0,132,4,0,44
2268,157461,0,0,0,0,10,0,-4,1,0,161,4,0,47
2289,170997,0,0,0,0,9,0,-4,0,0,160,4,0,54
1369,188440,0,0,0,0,11,0,-4,0,0,173,4,0,47
6748,253714,0,0,0,0,8,0,-7,0,0,139,4,0,64
7197,272000,0,0,0,0,10,0,-7,1,0,119,4,0,56
2353,174000,0,0,0,0,4,0,-10,1,0,115,4,0,49
10062,209573,0,0,0,0,9,0,-10,1,0,174,4,0,65
7995,202754,0,0,0,0,0,0,-6,0,0,96,4,0,52
4810,178009,0,0,0,0,5,0,-7,1,0,118,4,0,61
6307,169251,0,0,0,0,11,0,-5,0,0,164,4,0,65
2779,220826,0,0,0,0,5,0,-5,0,0,103,4,0,77
865,217822,0,0,0,0,0,0,-3,1,0,102,4,0,95
5190,253390,0,0,0,0,5,0,-3,0,0,136,4,0,95
12845,217652,0,0,0,0,6,0,-5,1,0,109,4,0,74
4609,199095,0,0,0,0,2,0,-4,1,0,105,4,0,77
8779,185743,0,0,0,0,4,0,-1,0,0,93,4,0,45
8869,166253,0,0,0,0,6,0,-5,0,0,102,4,0,52
2282,234373,0,0,0,0,9,0,-3,1,0,92,4,0,38
708,193846,0,0,0,0,9,0,-4,1,0,104,4,0,46
7812,208800,0,0,0,0,7,0,-9,1,0,147,4,0,44
3211,211437,0,0,0,0,1,0,-4,0,0,92,4,0,75
9451,202853,0,0,0,0,1,0,-3,0,0,132,4,0,75
459,198386,0,0,0,0,2,0,-8,1,0,121,4,0,45
5848,224413,0,0,0,0,8,0,-5,0,0,129,4,0,53
7755,218448,0,0,0,0,5,0,-4,0,0,127,4,0,38
9528,176702,0,0,0,0,1,0,-1,1,0,120,4,0,60
